Category,URL,Comment
FTP,https://103.200.93.146/,Versatile FTP Server
Chat,https://103.162.56.10/Chat/,Chat Server
Stream,https://103.145.57.203/,Movie Server
Meet,https://103.112.62.79:5443/,"Privacy focused video conferencing service, like Zoom and Google Meet."
Generic,http://ftp5.circleftp.net,
Test,http://59.153.100.190/,Speed Test Server
Generic,http://30.30.30.130,
Generic,http://192.168.91.8,
Generic,http://172.28.28.20,
Generic,http://172.17.50.243,
Generic,http://172.17.50.240,
FTP,http://172.16.50.8/,FTP Server - SamOnline
FTP,http://172.16.50.4/,FTP Server - SamOnline
Generic,http://15.1.1.5,
Generic,http://146.196.48.9/,
Generic,http://146.196.48.10/FILE--SERVER/FTP-2/,
Generic,http://146.196.48.10/FILE--SERVER/FTP-1/,
Generic,http://146.196.48.10/,
Generic,http://113.212.111.246:8080/hls//col12.m3u8,
Generic,http://103.92.154.118:8096/web/index.html#!/home,
Generic,http://103.92.154.118:8096/,
Generic,http://103.91.144.230/,
Stream,http://103.9.185.82/,Robi Tube - Live TV streaming service.
FTP,http://103.82.8.194/Data,FTP Server
Generic,http://103.81.104.98/,
FTP,http://103.78.255.174/,FTP Server
FTP,http://103.77.252.113/ftpdata,Movie Server
Stream,http://103.77.252.113,Movie Server
Generic,http://103.76.47.6:8096/,
Generic,http://103.76.47.6:8080/,
Generic,http://103.72.61.209/,
Generic,http://103.58.73.8/,
Generic,http://103.43.151.2:8099/,
Generic,http://103.203.93.2,
Generic,http://103.200.93.146/web/index.html,
FTP,http://103.166.193.10/ftp,Natok Movie Server
News,http://103.16.74.218/,News Portal
News,http://103.16.72.115/#latest,News Portal
FTP,http://103.153.130.245/,FTP server.
Chat,http://103.150.254.245:56969,This website does not have tls and E2EE and file is uploaded as soon as you select a file. There are no way to delete sent messages
Generic,http://103.150.254.245:3000,
FTP,http://103.148.40.133/,Movie Server
Generic,http://103.148.178.230,
Generic,http://103.144.165.43:8096,
Generic,http://103.132.95.221:8096/,
Chat,http://103.121.217.121:8065,BDIX Chat Server. Can be used via Mattermost app from PlayStore.
Generic,http://103.112.62.79:89/,
Generic,http://103.112.62.79:8065/,
Generic,http://103.112.62.79:5555/,
Generic,http://103.112.62.79:5230/,
Generic,http://103.109.56.117/index.php,
FTP,http://103.109.56.117/ftpdata,Movie Server
FTP,http://103.109.56.115/index.php,Movie Server
FTP,http://103.102.27.172,LINK 71
Generic,http://10.90.90.200/,
Generic,http://10.16.100.244/,
Generic,http://10.1.1.1,
